stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
Baegd741,,"GEROMPONT Avenue des Déportés 74",,  50.651931,   4.890270,,,0
Baegd742,,"GEROMPONT Avenue des Déportés 74",,  50.651979,   4.890100,,,0
Baegegl1,,"AUTRE-EGLISE Eglise",,  50.663079,   4.923704,,,0
Baegegl2,,"AUTRE-EGLISE Eglise",,  50.663151,   4.923620,,,0
Baeggar1,,"AUTRE-EGLISE Gare",,  50.663857,   4.918398,,,0
Baeggar2,,"AUTRE-EGLISE Gare",,  50.663964,   4.918366,,,0
Baegm501,,"AUTRE-EGLISE Rue de la Mêlée 50",,  50.659463,   4.909406,,,0
Baegm502,,"AUTRE-EGLISE Rue de la Mêlée 50",,  50.659827,   4.909799,,,0
Baegpon1,,"AUTRE-EGLISE Pont",,  50.655264,   4.898801,,,0
Baegpon2,,"AUTRE-EGLISE Pont",,  50.655434,   4.899312,,,0
Baegpon3,,"AUTRE-EGLISE Pont",,  50.654902,   4.897688,,,0
Baegpon4,,"AUTRE-EGLISE Pont",,  50.654853,   4.897897,,,0
Baisbar1,,"AISCHE-EN-REFAIL Baraque",,  50.598666,   4.823775,,,0
Balsbeg1,,"ALSEMBERG Begraafplaats van Vorst",,  50.755827,   4.332142,,,0
Balsbeg2,,"ALSEMBERG Begraafplaats van Vorst",,  50.756302,   4.331810,,,0
Balsnay1,,"ALSEMBERG Gensberg",,  50.746624,   4.332404,,,0
Balsnay2,,"ALSEMBERG Gensberg",,  50.746518,   4.332083,,,0
Balsnie1,,"ALSEMBERG Grootevelde",,  50.749529,   4.333995,,,0
Balsnie2,,"ALSEMBERG Grootevelde",,  50.749583,   4.333778,,,0
Balssvi1,,"ALSEMBERG Sint-Victor",,  50.741802,   4.334459,,,0
Balssvi2,,"ALSEMBERG Sint-Victor",,  50.741677,   4.334430,,,0
Balswin2,,"ALSEMBERG Winderickxplein",,  50.739697,   4.337933,,,0
Balswin3,,"ALSEMBERG Winderickxplein",,  50.739739,   4.338127,,,0
Balswsa1,,"ALSEMBERG Rondenbos",,  50.751621,   4.333377,,,0
Balswsa2,,"ALSEMBERG Rondenbos",,  50.751604,   4.333180,,,0
Balswwe1,,"ALSEMBERG De Meent",,  50.743561,   4.331612,,,0
Balswwe2,,"ALSEMBERG De Meent",,  50.743100,   4.331578,,,0
Barcast1,,"ARCHENNES Ancienne Station",,  50.747821,   4.691693,,,0
Barcast2,,"ARCHENNES Ancienne Station",,  50.747720,   4.691634,,,0
Barcbav1,,"ARCHENNES Bavay",,  50.749937,   4.686049,,,0
Barcbav2,,"ARCHENNES Bavay",,  50.749845,   4.685962,,,0
Barchez1,,"ARCHENNES Hézidelle",,  50.753370,   4.666991,,,0
